Download,Preuzimanje,theme,frontend/Hyva/default
Remaining Downloads,Preostala Preuzimanja,theme,frontend/Hyva/default
View Order,Pregledaj porudžbinu,theme,frontend/Hyva/default
Start Download,Započni Preuzimanje,theme,frontend/Hyva/default
You have not purchased any downloadable products yet.,Niste kupili ni jedan preuzimljivi proizvod do sada.,theme,frontend/Hyva/default
sample,uzorak,theme,frontend/Hyva/default
Unselect all,Poništi sve,theme,frontend/Hyva/default
Select all,Izaberi sve,theme,frontend/Hyva/default
To:,Za:,theme,frontend/Hyva/default
From:,Od:,theme,frontend/Hyva/default
Message,Poruka,theme,frontend/Hyva/default
Gift Message,Poklon poruka,theme,frontend/Hyva/default
Message:,Poruka:,theme,frontend/Hyva/default
Update,Ažuriraj,theme,frontend/Hyva/default
Clear,Očisti,theme,frontend/Hyva/default
Add Gift Options for the Entire Order,Dodaj Poklon Opcije za Celu Porudžbinu,theme,frontend/Hyva/default
Gift options,Poklon Opcije,theme,frontend/Hyva/default
Add Gift Options for Individual Items,Dodaj Poklon Opcije za Individualne Proizvode,theme,frontend/Hyva/default
Add Gift Options,Dodaj Poklon Opcije,theme,frontend/Hyva/default
Please specify the quantity of product(s).,Izaberite količinu proizvoda.,theme,frontend/Hyva/default
Product Name,Naziv proizvoda,theme,frontend/Hyva/default
Clear All,Očisti sve,theme,frontend/Hyva/default
Actual Price,Stvarna cena,theme,frontend/Hyva/default
Click for price,Kliknite za cenu,theme,frontend/Hyva/default
What's this?,Što je ovo?,theme,frontend/Hyva/default
Subscribe to Newsletter,Prijavi se na Newsletter,theme,frontend/Hyva/default
Newsletter,Bilten,theme,frontend/Hyva/default
Enter your email address,Unesite vašu email adresu,theme,frontend/Hyva/default
Subscribe,Pretplati se,theme,frontend/Hyva/default
Confirm,Potvrdi,theme,frontend/Hyva/default
Close,Zatvori,theme,frontend/Hyva/default
Express Checkout has been canceled.,Express Naplata je canceled.,theme,frontend/Hyva/default
Checkout with PayPal,Naplata with PayPal,theme,frontend/Hyva/default
We can't initialize Express Checkout.,We can't initialize Express Naplata.,theme,frontend/Hyva/default
Price change alert! We wanted you to know that prices have changed for these products:,Cena change alert! We wanted you to know that prices have changed for these products:,theme,frontend/Hyva/default
Price:,Cena:,theme,frontend/Hyva/default
Unsubscribe from all price alerts,Odjavi se sa svih obaveštenja o ceni,theme,frontend/Hyva/default
Unsubscribe from all stock alerts,Odjavi se sa svih obaveštenja o zalihama,theme,frontend/Hyva/default
Notify me when the price drops,Obavesti me kada cena padne,theme,frontend/Hyva/default
Notify me when this product is in stock,Obavesti me kada proizvod bude na zalihama,theme,frontend/Hyva/default
My Product Reviews,My Proizvod Recenzije,theme,frontend/Hyva/default
Items,Stavke,theme,frontend/Hyva/default
Write Your Own Review,Write Your Own Recenzija,theme,frontend/Hyva/default
Your Rating,Your Ocena,theme,frontend/Hyva/default
Review,Recenzija,theme,frontend/Hyva/default
Submit Review,Pošalji Recenzija,theme,frontend/Hyva/default
Be the first to review this product,Ocenite ovaj proizvod,theme,frontend/Hyva/default
Customer Reviews,Kupac Recenzije,theme,frontend/Hyva/default
Review by,Pregled od strane,theme,frontend/Hyva/default
Order Information,Informacije o porudžbini,theme,frontend/Hyva/default
Order ID,ID porudžbine,theme,frontend/Hyva/default
Find Order By,Pronađi porudžbinu po,theme,frontend/Hyva/default
ZIP Code,Poštanski broj,theme,frontend/Hyva/default
Billing Last Name,Prezime za Naplatu,theme,frontend/Hyva/default
Billing ZIP Code,Poštanski broj za naplatu,theme,frontend/Hyva/default
Continue,Nastavi,theme,frontend/Hyva/default
Order # %1,Porudžbina #%1,theme,frontend/Hyva/default
Refund #,Refundacija #,theme,frontend/Hyva/default
Print Refund,Štampaj refundaciju,theme,frontend/Hyva/default
Discount Amount,Iznos popusta,theme,frontend/Hyva/default
Row Total,Red ukupno,theme,frontend/Hyva/default
My Orders,Moje porudžbine,theme,frontend/Hyva/default
Ship To,Dostava Na,theme,frontend/Hyva/default
Order Total,Ukupan iznos,theme,frontend/Hyva/default
View,Pregled,theme,frontend/Hyva/default
Reorder,Ponovo Naruči,theme,frontend/Hyva/default
Billing Address,Adresa za fakturisanje,theme,frontend/Hyva/default
Shipping Address,Adresa za isporuku,theme,frontend/Hyva/default
Shipping Method,Način dostave,theme,frontend/Hyva/default
No shipping information available,Ne shipping information available,theme,frontend/Hyva/default
Payment Method,Način plaćanja,theme,frontend/Hyva/default
Print Order,Štampanje narudžbine,theme,frontend/Hyva/default
Print All Refunds,Štampaj sve refundacije,theme,frontend/Hyva/default
Print All Invoices,Štampaj sve fakture,theme,frontend/Hyva/default
Print All Shipments,Štampaj sve isporuke,theme,frontend/Hyva/default
Invoice #,Faktura #,theme,frontend/Hyva/default
Print Invoice,Štampaj fakturu,theme,frontend/Hyva/default
Qty Invoiced,Fakturisana kol.,theme,frontend/Hyva/default
SKU,Šifra,theme,frontend/Hyva/default
Qty Shipped,Isporučena kol.,theme,frontend/Hyva/default
Ordered,Porućeno,theme,frontend/Hyva/default
Shipped,Isporučeno,theme,frontend/Hyva/default
Canceled,Otkazano,theme,frontend/Hyva/default
Refunded,Povraćen novac,theme,frontend/Hyva/default
About Your Order,O vašoj porudžbini,theme,frontend/Hyva/default
Recent Orders,Nedavne porudžbine,theme,frontend/Hyva/default
View All,Prikaži svе,theme,frontend/Hyva/default
You have placed no orders.,Niste izvršili nijednu porudžbinu.,theme,frontend/Hyva/default
Shipment #,Isporuke #,theme,frontend/Hyva/default
Print Shipment,Štampaj isporuku,theme,frontend/Hyva/default
